证券代码,证券简称,"广告宣传推广费(销售费用)
[报告期] 2011年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2012年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2013年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2014年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2015年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2016年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2017年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2018年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2019年报
[报表类型] 合并报表
[单位] 元","广告宣传推广费(销售费用)
[报告期] 2020年报
[报表类型] 合并报表
[单位] 元","所属证监会行业名称
[交易日期] 最新收盘日
[行业级别] 门类行业"
300742.SZ,越博动力,,,,,,,,,,,制造业
300743.SZ,天地数码,,,,,,,,,,,制造业
300745.SZ,欣锐科技,,,,,"1,563,956.9800","1,761,832.3900","516,871.2200","599,077.1700","264,986.4800","30,818.2400",制造业
300746.SZ,汉嘉设计,,,,,"318,699.7200","517,074.8900","103,592.6900","1,160,885.9900","347,336.1500","170,512.2600",科学研究和技术服务业
300747.SZ,锐科激光,,,,,"1,672,500.7700","2,095,477.8000","4,377,549.6400","4,975,657.5300","7,941,634.4300","6,110,446.6200",制造业
300748.SZ,金力永磁,,,,,"2,129,176.5500","1,520,761.3100","2,150,206.4200","5,716,064.0700","2,828,289.7100","1,107,389.3600",制造业
300749.SZ,顶固集创,,,,,"31,527,883.8600","34,405,059.5500","28,945,250.1200","25,398,836.7000","26,196,027.2900","49,815,846.0500",制造业
300750.SZ,宁德时代,,,,,"8,470,227.2600","18,989,542.8500","25,781,358.6800","8,811,633.1800",,,制造业
300751.SZ,迈为股份,,,,,"284,786.7900","1,609,740.0500","1,842,381.5900","1,900,951.8800","1,848,926.3600","3,096,963.0800",制造业
300752.SZ,隆利科技,,,,,,,,,,,制造业
300753.SZ,爱朋医疗,,,,,"3,997,810.1800","5,112,291.2900","8,466,671.8000","8,888,702.1400","13,905,471.7300","8,057,186.2100",制造业
300755.SZ,华致酒行,,,,,"121,518,015.8800","57,056,300.9500","25,836,942.6000","45,551,449.6600","94,848,275.6900","111,508,351.5000",批发和零售业
300756.SZ,金马游乐,,,,,"1,306,162.0800","1,586,397.3200","1,090,277.7200","2,011,055.6200","2,949,848.8300","1,407,233.4100",制造业
300757.SZ,罗博特科,,,,,"686,556.9900","1,327,457.0000","1,886,991.1100","1,541,245.4300","1,769,087.5400","471,917.3100",制造业
300758.SZ,七彩化学,,,,,"1,004,455.7400","652,724.0300","1,338,313.7900","1,222,527.3300","1,097,151.4600","301,776.0600",制造业
300759.SZ,康龙化成,,,,,,,,,,,科学研究和技术服务业
300760.SZ,迈瑞医疗,,,,,"165,125,678.0000","172,300,244.0000","271,519,758.0000","336,458,085.0000","345,841,576.0000","243,389,660.0000",制造业
300761.SZ,立华股份,,,,,"144,815.6000","15,513.3600","41,928.1200","2,587.0000",,,农、林、牧、渔业
300762.SZ,上海瀚讯,,,,,,"264,425.0000","96,500.0000","349,713.7900",0.0000,,制造业
300763.SZ,锦浪科技,,,,,,"7,161,646.3500","14,649,240.1800","19,005,877.3100","25,187,452.4000","19,382,486.8500",制造业
300765.SZ,新诺威,,,,,,"74,647,562.2400","97,933,108.4800","122,021,364.6800","144,035,637.0000","211,617,705.8100",制造业
300766.SZ,每日互动,,,,,"1,648,100.0000","2,636,824.8100","2,898,180.1900","7,628,247.6100","8,104,230.2800","5,017,556.5400",信息传输、软件和信息技术服务业
300767.SZ,震安科技,,,,,,"14,691,670.7200","15,203,441.1000","26,692,297.5100","19,762,360.0400","42,076,778.8900",制造业
300768.SZ,迪普科技,,,,,,,,,,,信息传输、软件和信息技术服务业
300769.SZ,德方纳米,,,,,,"540,435.6500","637,720.3800","431,160.8700","307,299.9500","358,581.3000",制造业
300770.SZ,新媒股份,,,,,,"9,983,055.7800","21,325,442.1500","33,353,171.0200","38,936,958.4300","40,665,241.5600",信息传输、软件和信息技术服务业
300771.SZ,智莱科技,,,,,,"817,551.3300","733,857.5500","1,141,653.0300","1,865,051.7000","1,429,620.3600",制造业
300772.SZ,运达股份,,,,,,,,,,,制造业
300773.SZ,拉卡拉,,,,,,"115,890,426.0900","226,246,092.3000","696,815,082.9200","224,814,544.1600","226,364,613.7900",信息传输、软件和信息技术服务业
300775.SZ,三角防务,,,,,,,,,,,制造业
300776.SZ,帝尔激光,,,,,,"116,229.0900","230,150.5600","272,968.4900","871,905.9500","971,841.7900",制造业
300777.SZ,中简科技,,,,,,,,,,,制造业
300778.SZ,新城市,,,,,,,,,,,科学研究和技术服务业
300779.SZ,惠城环保,,,,,,"8,507.5400","172,827.0800","314,948.7300","355,709.7900","217,436.6700",制造业
300780.SZ,德恩精工,,,"35,000.0000","35,000.0000",,"743,982.5200","1,607,993.3900","850,833.3500","1,958,961.8200","1,105,611.9400",制造业
300781.SZ,因赛集团,,,,,,,,,,,租赁和商务服务业
300782.SZ,卓胜微,,,,,,,,,,,制造业
300783.SZ,三只松鼠,,,,,,"124,269,142.4000","137,313,830.1500","144,501,184.9400",,,批发和零售业
300785.SZ,值得买,,,,,,"17,149,814.4500","32,883,058.3000","36,321,404.0400","36,137,530.2200","91,582,917.9000",信息传输、软件和信息技术服务业
300786.SZ,国林科技,,,,,,"1,475,813.1300","1,169,985.4900","1,094,345.1800","2,136,662.9500","1,293,483.3300",制造业
300787.SZ,海能实业,,,,,,"15,300,589.5200","15,995,648.2900","10,280,999.1600","15,608,647.5000","14,326,057.4500",制造业
300788.SZ,中信出版,,,,,,"16,439,247.1800","17,617,727.8500","29,052,755.9200","39,050,442.0300","43,128,759.5000",文化、体育和娱乐业
300789.SZ,唐源电气,,,,,,"615,274.3700","670,992.9600","876,660.6100","1,380,585.2200","1,647,776.3000",信息传输、软件和信息技术服务业
300790.SZ,宇瞳光学,,,,,,"1,346,191.6000","2,635,623.6200","2,088,058.1400","2,959,176.3300","227,337.3400",制造业
300791.SZ,仙乐健康,,,,,,"9,612,587.5900","11,322,332.7400","13,063,111.8700","22,350,792.7700","25,319,542.0800",制造业
300792.SZ,壹网壹创,,,,,,,,,,,信息传输、软件和信息技术服务业
300793.SZ,佳禾智能,,,,,,"685,144.1100","241,639.5900","53,639.7900","44,685.0900","1,419,811.9800",制造业
300795.SZ,*ST米奥,,,,,,,,,,,租赁和商务服务业
300796.SZ,贝斯美,,,,,,"332,806.7600","729,200.5300","369,818.0600","382,114.3800","178,136.8900",制造业
300797.SZ,钢研纳克,,,,,,"5,804,320.8200","5,742,009.1400","18,224,343.6400","20,870,483.6000","20,967,528.0600",科学研究和技术服务业
300798.SZ,锦鸡股份,,,,,,"252,733.6500","256,648.1800","273,172.2600","282,193.3500","236,699.9900",制造业
300799.SZ,左江科技,,,,,,,,,,,信息传输、软件和信息技术服务业
300800.SZ,力合科技,,,,,,"2,291,278.7800","2,393,785.0600","4,928,406.7900",,,制造业
300801.SZ,泰和科技,,,,,,"226,856.5200","472,690.1500","630,684.4900","958,157.5800","412,048.2700",制造业
300802.SZ,矩子科技,,,,,,"2,284,530.6700","2,942,273.3500","3,169,093.9700","3,835,486.0200","1,992,563.7200",制造业
300803.SZ,指南针,,,,,,"78,491,700.0000","127,958,181.0000","79,956,514.0000","117,895,711.0000","183,128,647.0000",金融业
300805.SZ,电声股份,,,,,,,,,,,租赁和商务服务业
300806.SZ,斯迪克,,,,,,"513,009.8800","1,457,145.9200","1,274,090.0700","868,707.4600","155,841.3200",制造业
300807.SZ,天迈科技,,,,,"1,434,006.8600","2,405,339.7200","1,928,114.8200","1,977,944.1900","1,418,104.0500","2,413,798.7900",制造业
300808.SZ,久量股份,,,,,,"11,119,194.6700","8,415,094.3100","8,126,042.2600","6,951,164.9200","8,354,673.0100",制造业
300809.SZ,华辰装备,,,,,,,,,,,制造业
300810.SZ,中科海讯,,,,,,,,,,,信息传输、软件和信息技术服务业
300811.SZ,铂科新材,,,,,,"1,523,868.5400","572,742.0000","626,681.2300","997,527.7200","146,545.4000",制造业
300812.SZ,易天股份,,,,,,"1,480,178.8500","832,729.6600","896,639.7900","700,880.9700","789,556.1600",制造业
300813.SZ,泰林生物,,,,,,"720,557.6300","695,160.9600","721,931.9000","1,272,937.8600","1,899,815.0400",制造业
300815.SZ,玉禾田,,,,,,,"825,471.7000","4,000,772.6400","7,687,045.2300","9,225,051.0800",水利、环境和公共设施管理业
300816.SZ,艾可蓝,,,,,,,,,,,水利、环境和公共设施管理业
300817.SZ,双飞股份,,,,,,,,,,,制造业
300818.SZ,耐普矿机,,,,,,"1,233,536.8300","1,398,051.1200","2,637,900.7400","1,077,372.6800","1,878,993.9500",制造业
300819.SZ,聚杰微纤,,,,,,,,,,,制造业
300820.SZ,英杰电气,,,,,,,,,"822,575.5800","507,031.9400",制造业
300821.SZ,东岳硅材,,,,,,,,,,,制造业
300822.SZ,贝仕达克,,,,,,,,,,,制造业
300823.SZ,建科机械,,,,,,,,,,,制造业
300824.SZ,北鼎股份,,,,,,"16,131,203.5300",,,,,制造业
300825.SZ,阿尔特,,,,,,,"6,028,385.8300","3,269,316.4400","358,261.9900","943,672.3300",科学研究和技术服务业
300826.SZ,测绘股份,,,,,,,"364,986.0800",,,"1,463,025.4600",科学研究和技术服务业
300827.SZ,上能电气,,,,,,,"3,690,032.5500","3,929,142.8900","3,855,345.9400","5,896,946.9200",制造业
300828.SZ,锐新科技,,,,,,"95,246.0400","81,743.2400","124,094.0100","104,834.1800","469,827.6300",制造业
300829.SZ,金丹科技,,,,,,"1,189,177.6600","852,426.0700","1,326,907.6500","1,560,405.7100","275,483.0600",制造业
300830.SZ,金现代,,,,,,,,,,,信息传输、软件和信息技术服务业
300831.SZ,派瑞股份,,,,,,,,,,0.0000,制造业
300832.SZ,新产业,,,,,,,"15,702,469.4400","20,649,227.8100","23,895,966.8700","13,111,294.1900",制造业
300833.SZ,浩洋股份,,,,,,,"9,501,561.6600","9,201,252.6900","11,709,098.1900","5,097,323.0100",制造业
300835.SZ,龙磁科技,,,,,,,,,,,制造业
300836.SZ,佰奥智能,,,,,,"7,388.6800",,,,,制造业
300837.SZ,浙矿股份,,,,,,,,,,"3,084,334.5800",制造业
300838.SZ,浙江力诺,,,,,,"3,068,354.9100","1,334,783.7300","1,329,397.1900",,"1,125,598.5300",制造业
300839.SZ,博汇股份,,,,,,,,,,,制造业
300840.SZ,酷特智能,,,,,,,,,,"8,392,864.7500",制造业
300841.SZ,康华生物,,,,,,,"94,746,299.0200","190,327,397.1200","172,697,750.0000","326,219,600.0000",制造业
300842.SZ,帝科股份,,,,,,,"7,791,710.8900","6,367,777.4700","13,029,484.5800","19,596,758.7700",制造业
300843.SZ,胜蓝股份,,,,,,,,,,,制造业
300845.SZ,捷安高科,,,,,,"3,039,491.7800","2,246,640.8700","4,226,127.5200","4,523,206.5200","3,823,992.6200",信息传输、软件和信息技术服务业
300846.SZ,首都在线,,,,,,,,,,,信息传输、软件和信息技术服务业
300847.SZ,中船汉光,,,,,,,,,,"448,589.9800",制造业
300848.SZ,美瑞新材,,,,,,"911,200.0200","486,992.5500","1,065,700.5000","909,804.7100","190,182.5200",制造业
300849.SZ,锦盛新材,,,,,,,,,,,制造业
300850.SZ,新强联,,,,,,,,,,,制造业
300851.SZ,交大思诺,,,,,,"19,417.4800",0.0000,,,"1,273,017.0000",信息传输、软件和信息技术服务业
300852.SZ,四会富仕,,,,,,,,,,"550,662.7900",制造业
300853.SZ,申昊科技,,,,,,,,,,"4,156,605.7000",制造业
300855.SZ,图南股份,,,,,,,,,,,制造业
300856.SZ,科思股份,,,,,,,,,,"691,767.1500",制造业
300857.SZ,协创数据,,,,,,,,,,0.0000,制造业
300858.SZ,科拓生物,,,,,,,,,,"10,424,457.5500",制造业
300859.SZ,*ST西域,,,,,,,,,,,水利、环境和公共设施管理业
300860.SZ,锋尚文化,,,"418,822.0500",,,,,,,,文化、体育和娱乐业
300861.SZ,美畅股份,,,,,,448.7000,"545,764.4300","786,246.0300",0.0000,,制造业
300862.SZ,蓝盾光电,,,,,,,,,,"752,685.0000",制造业
300863.SZ,卡倍亿,,,,,,,,,,,制造业
300864.SZ,南大环境,,,,,,,"202,740.7300","715,804.3300","923,172.2400","765,278.0700",水利、环境和公共设施管理业
300865.SZ,大宏立,,,,,,,,,,"2,896,859.2400",制造业
300866.SZ,安克创新,,,,,,"82,784,001.4400","117,563,253.7100",,,"616,959,698.7900",制造业
300867.SZ,圣元环保,,,,,,,,,,,水利、环境和公共设施管理业
300868.SZ,杰美特,,,,,,,"17,939,837.5500","14,934,914.3900","30,547,749.8100","57,595,269.6000",制造业
300869.SZ,康泰医学,,,"3,060,411.8600","3,060,411.8600",,,,,,,制造业
300870.SZ,欧陆通,,,,,,,"316,349.7100","146,250.0900","23,113.2000","72,483.8700",制造业
300871.SZ,回盛生物,,,,,,,"5,270,865.8400","3,164,399.6500","2,286,845.6500","3,730,572.2800",制造业
300872.SZ,天阳科技,,,,,,,,,,,信息传输、软件和信息技术服务业
300873.SZ,海晨股份,,,,,,,"2,263,449.0100","3,706,504.0700","411,314.4900","808,893.7000",交通运输、仓储和邮政业
300875.SZ,捷强装备,,,,,,,,,,"925,895.5100",制造业
300876.SZ,蒙泰高新,,,,,,,"334,110.0500","638,115.6300","596,880.4900","455,763.0500",制造业
300877.SZ,金春股份,,,,,,,"335,558.5100","188,040.1400","148,731.6100","248,825.8300",制造业
300878.SZ,维康药业,,,,,,,"78,512,909.6700","219,370,343.6900","214,697,830.6900","186,471,398.7300",制造业
300879.SZ,大叶股份,,,,,,,"5,021,039.5600","4,754,308.2100","3,174,366.3400","2,741,688.1100",制造业
300880.SZ,迦南智能,,,,,,,,,,,制造业
300881.SZ,盛德鑫泰,,,,,,,,,,"232,748.4800",制造业
300882.SZ,万胜智能,,,,,,,,,,,制造业
300883.SZ,龙利得,,,,,,"90,979.9600","332,488.7700","180,111.0100","121,805.8000","67,853.1500",制造业
300884.SZ,狄耐克,,,,,,,,,,,制造业
300885.SZ,海昌新材,,,,,,,,,,,制造业
300886.SZ,华业香料,,,,,,,"384,937.1800",,,,制造业
300887.SZ,谱尼测试,,,,,,,"1,874,142.6700","1,516,471.4000","2,077,827.0800","6,208,026.8300",科学研究和技术服务业
300888.SZ,稳健医疗,,,,,,,"214,117,377.9400","238,741,218.6000","268,623,712.4100","372,944,041.9000",制造业
300889.SZ,爱克股份,,,,,,,"4,060,807.5300","8,997,323.8600","14,614,891.0700","12,609,561.5100",制造业
300890.SZ,翔丰华,,,,,,,"381,675.7300","91,445.6500",750.0000,,制造业
300891.SZ,惠云钛业,,,,,,"369,446.5100","558,404.3300","368,614.6400","401,492.6100","116,349.8300",制造业
300892.SZ,品渥食品,,,,,,,"132,565,775.0500","137,712,728.2400","146,336,193.9300","121,496,543.5400",批发和零售业
300893.SZ,松原股份,,,,,,,,,,,制造业
300894.SZ,火星人,,,,,,,"56,671,901.7800","107,383,392.8800","142,639,959.5400","175,725,131.9800",制造业
300895.SZ,铜牛信息,,,,,,,"40,133.9900","647,633.7600","51,158.2300","77,251.5500",信息传输、软件和信息技术服务业
300896.SZ,爱美客,,,,,,,"7,817,390.3000","10,185,211.7700","8,444,005.4200","4,141,713.3800",制造业
300897.SZ,山科智能,,,,,,,"9,174,098.1200","10,502,321.1900","12,443,139.0600","15,290,800.8900",制造业
300898.SZ,熊猫乳品,,,,,,"1,823,114.6700","5,886,400.8200","8,840,503.1800","9,938,609.7500","6,082,483.6000",制造业
300899.SZ,上海凯鑫,,,,,,"934,865.0900","544,731.1800","365,684.6300","661,662.9400","1,028,466.9300",水利、环境和公共设施管理业
300900.SZ,广联航空,,,,,,,,,,,制造业
300901.SZ,中胤时尚,,,,,,,"4,905,248.8900","5,097,771.6000","5,350,027.9800","5,117,521.6100",科学研究和技术服务业
300902.SZ,国安达,,,,,,,"490,437.1200","398,743.1900","604,034.4900","413,219.6200",制造业
300903.SZ,科翔股份,,,,,,,"7,472,749.6700","8,388,712.9200","7,368,003.5600","7,463,222.8800",制造业
300905.SZ,宝丽迪,,,,,,,"65,056.6000","132,384.9100","388,147.1900","1,751,901.9800",制造业
300906.SZ,日月明,,,,,,"565,588.5900","56,198.5400","34,510.3300","30,188.6800",0.0000,制造业
300907.SZ,康平科技,,,,,,,"1,135,673.9400","306,593.2900","274,497.0200","606,444.4400",制造业
300908.SZ,仲景食品,,,,,,,"31,447,824.8100","29,430,373.5600","31,405,546.6400","36,382,963.6200",制造业
300909.SZ,汇创达,,,,,,"4,669,523.6000","614,976.2500","43,140.8700",0.0000,,制造业
300910.SZ,瑞丰新材,,,,,,,"797,221.4700","611,059.0700","926,954.8400","1,245,536.3200",制造业
300911.SZ,亿田智能,,,,,,,"29,351,531.7400","44,548,446.7800","42,226,229.6700","52,161,763.7800",制造业
300912.SZ,凯龙高科,,,,,,,"753,179.3300","1,152,629.9700","340,406.8100",,水利、环境和公共设施管理业
300913.SZ,兆龙互连,,,,,,,,,,,制造业
300915.SZ,海融科技,,,,,,,"2,058,386.1900","3,535,130.4400","2,843,992.8200","3,650,646.5500",制造业
300916.SZ,朗特智能,,,,,,,"4,268,899.3900","2,938,850.7800","825,038.2700","516,350.3700",制造业
300917.SZ,特发服务,,,,,,,,,,"250,713.7900",房地产业
300918.SZ,南山智尚,,,,,,,"8,077,778.3100","7,112,070.5600","8,308,096.0700","7,150,159.8700",制造业
300919.SZ,中伟股份,,,,,,,,,,,制造业
300920.SZ,润阳科技,,,,,,"100,800.0000","292,067.1700","277,031.7300","378,815.2400","698,876.4000",制造业
300921.SZ,南凌科技,,,,,,,,,,,信息传输、软件和信息技术服务业
300922.SZ,天秦装备,,,,,,,"87,949.0700","92,790.6300","107,390.3800",0.0000,制造业
300923.SZ,研奥股份,,,,,,,"872,849.1400","1,218,060.0600","1,970,490.1000","2,681,915.1200",制造业
300925.SZ,法本信息,,,,,,,,,,,信息传输、软件和信息技术服务业
300926.SZ,博俊科技,,,,,,,,,,,制造业
300927.SZ,江天化学,,,,,,,,,,,制造业
300928.SZ,华安鑫创,,,,,,,,,,,科学研究和技术服务业
300929.SZ,华骐环保,,,,,,,"62,793.3900","402,452.8300","733,918.4500","156,039.6000",水利、环境和公共设施管理业
300930.SZ,屹通新材,,,,,,,,,,,制造业
300931.SZ,通用电梯,,,,,,"1,801,168.1600","1,109,852.3100","1,928,174.5700","1,251,096.5800","1,407,705.3400",制造业
300932.SZ,三友联众,,,,,,,"676,040.6100","1,316,803.4900","710,399.1200","323,209.0900",制造业
300933.SZ,中辰股份,,,,,,,"1,082,826.0000","1,016,378.5100","427,262.4200","510,830.4300",制造业
300935.SZ,盈建科,,,,,,"116,207.5400","265,186.0600","347,088.9800","282,657.7000","238,232.9700",信息传输、软件和信息技术服务业
300936.SZ,中英科技,,,,,,,"49,600.0000","21,600.0000",613.2100,"64,016.8700",制造业
300937.SZ,药易购,,,,,,,"2,516,110.9500","3,457,381.7400","4,698,523.1000","9,611,304.1400",批发和零售业
300938.SZ,信测标准,,,,,,,"1,105,375.0100","956,326.5300","882,695.4700","793,776.9700",科学研究和技术服务业
300939.SZ,秋田微,,,,,,,"4,554,826.4900","5,115,022.2300","6,269,687.8800","7,274,966.4200",制造业
300940.SZ,南极光,,,,,,,,,,,制造业
300941.SZ,创识科技,,,,,,,,,,,信息传输、软件和信息技术服务业
300942.SZ,易瑞生物,,,,,,,"1,081,998.8800","916,177.9300","1,744,660.5100","470,936.4000",制造业
300943.SZ,春晖智控,,,,,,"349,595.3900","635,633.7200","705,835.7500","1,139,674.3600","906,452.4700",制造业
300945.SZ,曼卡龙,,,,,,,,,,,批发和零售业
300946.SZ,恒而达,,,,,,,"300,968.9700","453,913.5200","441,463.6600","1,419,552.3100",制造业
300947.SZ,德必集团,,,,,,,"3,807,530.4900","4,015,403.5900","2,421,246.1200","3,256,298.8300",租赁和商务服务业
300948.SZ,冠中生态,,,,,,,"130,231.4600","655,923.7500","1,361,626.4400","558,161.4000",水利、环境和公共设施管理业
300949.SZ,奥雅设计,,,,,,,"266,742.8000","302,860.2800","364,989.8200","201,886.3600",科学研究和技术服务业
300950.SZ,德固特,,,,,,,"57,169.7100","34,892.1600","54,178.5500","250,837.4000",制造业
300951.SZ,博硕科技,,,,,,,,,,,制造业
300952.SZ,恒辉安防,,,,,,,"681,983.6400","923,032.8500","1,930,837.4400",,制造业
300953.SZ,震裕科技,,,,,,,"562,414.1000","943,329.4500","795,968.5100","361,082.8600",制造业
300955.SZ,嘉亨家化,,,,,,,,,,,制造业
300956.SZ,英力股份,,,,,,,,,,,制造业
300957.SZ,贝泰妮,,,,,,,,,,,制造业
300958.SZ,建工修复,,,,,,,,,,,水利、环境和公共设施管理业
300959.SZ,线上线下,,,,,,,,,,,信息传输、软件和信息技术服务业
300960.SZ,通业科技,,,,,,"3,488,266.0100",,,,,制造业
300961.SZ,深水海纳,,,,,,,"330,658.0500","191,971.0800","91,935.8200","545,754.9000",水利、环境和公共设施管理业
300962.SZ,中金辐照,,,,,,,"156,473.5300","176,537.6300","137,879.2000","86,947.4300",制造业
300963.SZ,中洲特材,,,,,,,"1,420,032.3900","2,308,011.8700","1,120,996.7500","837,826.9000",制造业
300965.SZ,恒宇信通,,,,,,,"282,942.6900","390,910.3000","156,344.4300","27,820.7000",制造业
300966.SZ,共同药业,,,,,,,,,,,制造业
300967.SZ,晓鸣股份,,,,,,,"136,200.0000","306,530.0000","368,977.0000","331,200.0000",农、林、牧、渔业
300968.SZ,格林精密,,,,,,,,,,,制造业
300969.SZ,恒帅股份,,,,,,,,,,,制造业
300970.SZ,华绿生物,,,,,,,"12,000.0000","129,064.0000","56,081.0000","518,798.2500",农、林、牧、渔业
300971.SZ,博亚精工,,,,,,,"339,290.7700","635,376.6400","412,672.3500","340,254.7200",制造业
300972.SZ,万辰生物,,,,,,"50,000.0000","55,870.3600","43,632.0000","299,989.1800","342,881.9100",农、林、牧、渔业
300973.SZ,立高食品,,,,,,,"14,854,327.2600","21,375,917.6700","26,466,302.8300","24,324,315.6000",制造业
300975.SZ,商络电子,,,,,,,"2,128,875.1400","2,012,250.8200","2,939,851.7700","4,225,987.5300",批发和零售业
300976.SZ,达瑞电子,,,,,,,,,,,制造业
300977.SZ,深圳瑞捷,,,,,,,,,,,科学研究和技术服务业
300978.SZ,东箭科技,,,,,,,"5,077,633.6100","3,340,871.7900","3,430,642.7400","8,848,297.0100",制造业
300979.SZ,华利集团,,,,,,,,,,,制造业
300980.SZ,祥源新材,,,,,,,,,,"1,876,203.4600",制造业
300981.SZ,中红医疗,,,,,,,"1,123,491.4600","1,355,359.6400","1,620,539.3300","1,029,768.4300",制造业
300982.SZ,苏文电能,,,,,,,"973,846.5300","1,333,253.0900","1,859,065.9800","552,561.4800",建筑业
300983.SZ,尤安设计,,,,,,,,"7,854,648.0000","9,575,852.1100","9,726,920.0300",科学研究和技术服务业
300985.SZ,致远新能,,,,,,,,,,,制造业
300986.SZ,志特新材,,,,,,,,"425,744.0200","888,641.5800","85,647.7700",制造业
300987.SZ,川网传媒,,,,,,,,"2,000,583.1700","865,293.5500","4,215,182.5400",信息传输、软件和信息技术服务业
300988.SZ,津荣天宇,,,,,"333,000.0000","172,402.1600",,,,,制造业
300989.SZ,蕾奥规划,,,,,,,,"1,686,767.0700","1,086,620.5000","1,125,558.7100",科学研究和技术服务业
300990.SZ,同飞股份,,,,,,,,"695,945.0700","1,409,488.7800","1,105,092.6300",制造业
300999.SZ,金龙鱼,,,,,,,"1,948,973,000.0000","1,987,402,000.0000","2,211,987,000.0000","2,503,929,000.0000",制造业
600000.SH,浦发银行,,,,,,,,,,,金融业
600004.SH,白云机场,,,,,,,"73,383.3900","30,334.7300",,,交通运输、仓储和邮政业
600006.SH,东风汽车,,"265,826,548.6900","243,413,041.6000","239,777,136.3500","340,176,668.6900","256,735,939.8100","235,189,748.1600","73,495,401.8100",,,制造业
600007.SH,中国国贸,,"36,562,421.0000","38,136,968.0000","46,285,461.0000","36,488,842.0000","46,592,541.0000","70,282,599.0000","73,385,063.0000","80,511,672.0000","87,598,416.0000",房地产业
600008.SH,首创股份,,,,,,,,,,,电力、热力、燃气及水生产和供应业
600009.SH,上海机场,,,,,,,,,,,交通运输、仓储和邮政业
600010.SH,包钢股份,,,,,,,,,,,制造业
600011.SH,华能国际,,,,,,,,,,,电力、热力、燃气及水生产和供应业
600012.SH,皖通高速,,,,,,,,,,,交通运输、仓储和邮政业
600015.SH,华夏银行,,,,,,,,,,,金融业
600016.SH,民生银行,,,,,,,,,,,金融业
600017.SH,日照港,,,,,,,,,,,交通运输、仓储和邮政业
600018.SH,上港集团,,,,"1,735,516.0000","8,122,275.4900","14,790,895.1300","484,065,352.3900","518,088,593.9400","543,440,034.0900","81,766,348.8700",交通运输、仓储和邮政业
600019.SH,宝钢股份,,,,,,,,,,,制造业
600020.SH,中原高速,,"11,960,746.6700","26,797,838.4700","14,040,152.2100","12,902,247.5500","5,716,717.3800","3,386,317.9900","4,405,810.5000","5,505,559.1900","7,962,488.2800",交通运输、仓储和邮政业
600021.SH,上海电力,,"1,271.0000",400.0000,0.0000,"18,654.7200",,"679,613.7000","324,305.0800",,"616,498.8000",电力、热力、燃气及水生产和供应业
600022.SH,山东钢铁,,,,,,,,,,,制造业
600023.SH,浙能电力,,,,,,,,,,,电力、热力、燃气及水生产和供应业
600025.SH,华能水电,,,,,,,,,,,电力、热力、燃气及水生产和供应业
600026.SH,中远海能,,"1,908,250.8500","1,559,511.2300","2,095,925.7200",,,,,,,交通运输、仓储和邮政业
600027.SH,华电国际,,,,,,,,,,,电力、热力、燃气及水生产和供应业
600028.SH,中国石化,,,,,,,,,,,采矿业
600029.SH,南方航空,,"245,000,000.0000","118,000,000.0000","116,000,000.0000","122,000,000.0000","173,000,000.0000","196,000,000.0000","217,000,000.0000","314,000,000.0000","121,000,000.0000",交通运输、仓储和邮政业
600030.SH,中信证券,,,,,,,,,,,金融业
600031.SH,三一重工,,"156,175,000.0000","178,334,000.0000","134,739,000.0000","63,273,000.0000","79,882,000.0000","55,113,000.0000","53,743,000.0000",,,制造业
600033.SH,福建高速,,,,,,,,,,,交通运输、仓储和邮政业
600035.SH,楚天高速,,"1,372,703.0000","1,333,418.0000",0.0000,"160,276.0000",0.0000,"42,814.5500","1,691,375.1500","625,293.8000","383,870.2000",交通运输、仓储和邮政业
600036.SH,招商银行,,,,,,,,,,,金融业
600037.SH,歌华有线,,,,,,,,,,,信息传输、软件和信息技术服务业
600038.SH,中直股份,,"2,288,435.5300","2,117,917.0300","5,415,502.2300","9,709,900.2000","9,266,862.6100","11,044,435.6600","16,789,521.1200","11,910,761.2400","3,568,748.0500",制造业
600039.SH,四川路桥,,,,,,"49,623.0000","267,263.3500","4,621,306.9000","1,207,893.1400",,建筑业
600048.SH,保利地产,,"901,950,216.7000","1,214,730,908.8700","1,315,778,971.7300","1,443,036,618.8800","1,770,158,289.1500","1,580,213,264.4200","2,579,551,879.9400","3,115,115,444.2200","3,262,329,999.0400",房地产业
600050.SH,中国联通,,"4,860,301,701.0000","5,361,372,166.0000",,,,"3,893,723,730.0000","2,881,637,115.0000","2,563,092,590.0000","2,722,921,644.0000",信息传输、软件和信息技术服务业
600051.SH,宁波联合,,"12,955,411.5300","17,524,826.2000","24,949,233.2000","28,123,285.1800","18,632,012.7800","18,288,254.1100","14,607,277.7200","13,885,942.1200","4,202,887.4400",批发和零售业
